NAME_CHN,adcode,citycode
邵阳市,430500,739
果洛藏族自治州,632600,975
秦皇岛市,130300,335
台湾省,710000,1886
抚顺市,210400,413
哈密市,650500,902
乌鲁木齐市,650100,991
池州市,341700,566
日喀则市,540200,892
茂名市,440900,668
阿拉尔市,659002,1997
东沙群岛,442100,0
琼中黎族苗族自治县,469030,1899
南充市,511300,817
洛阳市,410300,379
屯昌县,469022,1892
潮州市,445100,768
