NAME_CHN,adcode,level,x,y
崇仁县,361024,district,116.059,27.76
聂拉木县,540235,district,85.981,28.155
南丰县,361023,district,116.532,27.21
宜黄县,361026,district,116.223,27.546
岗巴县,540237,district,88.518,28.274
乐安县,361025,district,115.838,27.42
资溪县,361028,district,117.066,27.706
金溪县,361027,district,116.778,27.907
广昌县,361030,district,116.327,26.838
瓜州县,620922,district,95.78,40.516
金塔县,620921,district,98.902,39.983
阿克塞哈萨克族自治县,620924,district,94.337,39.631
肃北蒙古族自治县,620923,district,94.877,39.512
管城回族区,410104,district,113.685,34.746
二七区,410103,district,113.645,34.73
上街区,410106,district,113.308,34.802
黎川县,361022,district,116.914,27.292
金水区,410105,district,113.686,34.775
南城县,361021,district,116.639,27.555
惠济区,410108,district,113.618,34.828
华蓥市,511681,district,106.777,30.38
城中区,450202,district,109.411,24.312
柳南区,450204,district,109.395,24.287
万载县,360922,district,114.449,28.104
鱼峰区,450203,district,109.415,24.303
奉新县,360921,district,115.389,28.7
柳江区,450206,district,109.334,24.257
宜丰县,360924,district,114.787,28.388
柳北区,450205,district,109.406,24.359
上高县,360923,district,114.932,28.234
融安县,450224,district,109.403,25.214
铜鼓县,360926,district,114.37,28.52
鹿寨县,450223,district,109.74,24.483
靖安县,360925,district,115.361,28.86
三江侗族自治县,450226,district,109.614,25.785
融水苗族自治县,450225,district,109.252,25.068
安定区,621102,district,104.625,35.579
波密县,540424,district,95.768,29.858
柳城县,450222,district,109.245,24.655
墨脱县,540423,district,95.332,29.325
朗县,540426,district,93.073,29.044
察隅县,540425,district,97.465,28.66
陇西县,621122,district,104.637,35.003
通渭县,621121,district,105.25,35.208
临洮县,621124,district,103.862,35.376
渭源县,621123,district,104.211,35.133
岷县,621126,district,104.039,34.439
广安区,511602,district,106.632,30.456
漳县,621125,district,104.466,34.848
前锋区,511603,district,106.893,30.496
横县,450127,district,109.27,22.687
西峰区,621002,district,107.638,35.733
武胜县,511622,district,106.292,30.344
岳池县,511621,district,106.444,30.533
马山县,450124,district,108.172,23.711
隆安县,450123,district,107.688,23.174
宾阳县,450126,district,108.816,23.216
合水县,621024,district,108.019,35.819
上林县,450125,district,108.603,23.431
华池县,621023,district,107.986,36.457
宁县,621026,district,107.921,35.502
正宁县,621025,district,108.361,35.49
镇原县,621027,district,107.195,35.677
东湖区,360102,district,115.889,28.682
环县,621022,district,107.308,36.569
庆城县,621021,district,107.885,36.013
新建区,360112,district,115.82,28.69
青山湖区,360111,district,115.949,28.689
万源市,511781,district,108.037,32.067
青云谱区,360104,district,115.907,28.635
西湖区,360103,district,115.91,28.662
湾里区,360105,district,115.731,28.714
南昌县,360121,district,115.942,28.543
进贤县,360124,district,116.267,28.365
安义县,360123,district,115.553,28.841
阳朔县,450321,district,110.494,24.775
全州县,450324,district,111.072,25.929
灵川县,450323,district,110.325,25.408
永福县,450326,district,109.989,24.986
兴安县,450325,district,110.67,25.609
巴宜区,540402,district,94.36,29.653
临桂区,450312,district,110.205,25.246
雁山区,450311,district,110.305,25.077
雨城区,511802,district,103.003,29.981
名山区,511803,district,103.112,30.084
